id_bien,no_voie,btq,type_voie,voie,type_local,surface_reelle_bati,nb_pieces_principales,surface_terrain,id_codedep_codecommune
30874,6,,RUE,GUSTAVE DORE,Appartement,52,2,,75117
30875,11,,BD,ORNANO,Appartement,40,2,,75118
30876,8,,RUE,BAUDELIQUE,Appartement,33,2,,75118
30877,19,,RUE,HERMEL,Appartement,37,3,,75118
30878,20,,RUE,CHAPPE,Appartement,30,1,,75118
30879,33,,RUE,MARX DORMOY,Appartement,110,4,,75118
30880,10,,RUE,RIQUET,Appartement,49,2,,75119
30881,17,,RUE,LALLY TOLLENDAL,Appartement,35,2,,75119
30882,22,,RUE,EUGENE JUMIN,Appartement,36,2,,75119
30883,84,,RUE,DE CRIMEE,Appartement,34,1,,75119
30884,11,,RUE,DU SOLEIL,Appartement,20,1,,75120
30885,103,,RUE,DE MENILMONTANT,Appartement,54,3,,75120
30886,3,,RUE,PIERRE FONCIN,Appartement,91,4,,75120
30887,6,,RUE,AMIRAL COURBET,Appartement,34,2,,76351
30888,94,,RUE,JULES SIEGFRIED,Appartement,118,5,,76351
30889,102,,RUE,JACQUES BREL,Appartement,92,5,,76351
30890,3,,RUE,BERNARD PALISSY,Appartement,48,2,,77058
30891,23,,ALL,DU PRE MALLARD,Appartement,71,3,,77085
30892,2,,RUE,SAINT HUBERT,Appartement,44,1,,77108
30893,8,,RUE,JEAN JAURES,Appartement,39,2,,77108
30894,4,,RUE,PEROTIN,Appartement,55,2,,77108
30895,53,,RUE,DE LA CRECHE,Appartement,35,1,,77284
30896,28,,BD,GAMBETTA,Appartement,76,3,,77288
30897,13,,RUE,BRASSERIE GRUBER,Appartement,45,2,,77288
30898,9,,AV,DE FONTAINEBLEAU,Appartement,26,2,,77378
30899,11,,AV,LOUISE,Appartement,80,3,,77513
30900,7,,PL,DU GRIMPEREAU,Maison,147,7,,78128
30901,30,,ALL,DU VERT GALANT,Appartement,19,1,,78133
30902,129,,RES,129 RUE LAVOISIER,Appartement,59,4,,78311
30903,1,,ALL,DU BRIQUETIER,Appartement,72,4,,78354
30904,5,,BD,DES CYGNES,Appartement,55,3,,78361
30905,10,,RUE,DES VIOLETTES,Appartement,95,4,,78367
30906,1,,RUE,FRANC SERGENT,Appartement,85,4,,78372
30907,1,,SQ,DU LYONNAIS,Appartement,53,2,,78383
30908,7,,AV,MAL DE L DE TASSIGNY,Appartement,65,4,,78418
30909,6,,ALL,DE NORMANDIE,Appartement,83,4,,78440
30910,903,,RUE,DE L ORME GAUTHIER,Appartement,33,2,,78466
30911,30,,RUE,DE LA REPUBLIQUE,Appartement,80,4,,78551
30912,175,,RUE,DU PDT ROOSEVELT,Appartement,55,3,,78551
30913,54,,AV,MAHATMA GANDHI,Appartement,82,4,,78621
30914,101,,RUE,PAUL DOUMER,Appartement,85,4,,78624
30915,11,,RUE,VINCENT ALLEGRE,Appartement,33,1,,83009
30916,21,,RUE,DES ECOLES,Appartement,23,2,,83009
30917,127,,AV,DE LA REPUBLIQUE,Appartement,55,3,,83054
30918,66,,RTE,DE TOULON,Appartement,58,3,,83069
